Age,Gender,Occupation,Daily_Screen_Time_Hours,Sleep_Hours_Per_Night,Exercise_Frequency,Social_Interactions_Per_Week,Self_Reported_Stress_Level,Meditation_Practice,Caffeine_Intake_Daily,BMI_Category,Has_Chronic_Condition,Exercise_Frequency_Num,Meditation_Num,Caffeine_Num,BMI_Num,wellbeing_index,risk_behaviour_score
45,Female,Student,7.6,11.6,3-5x/week,14,4,No,2-3 cups,Underweight,No,2.0,0,2.0,3,0.6314327485380117,12.6
77,Female,Student,1.8,10.4,,9,2,No,,Overweight,No,,0,,2,,
33,Female,Engineer,2.0,9.0,,13,9,No,2-3 cups,Normal,Yes,,0,2.0,0,,4.0
32,Prefer not to say,Healthcare,12.9,4.1,1-2x/week,12,1,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.1884502923976608,13.9
79,Female,Engineer,14.9,7.3,1-2x/week,4,1,Yes,2-3 cups,Normal,Yes,1.0,1,2.0,0,0.17207602339181283,16.9
79,Male,Engineer,10.5,7.6,,5,4,No,2-3 cups,Overweight,No,,0,2.0,2,,14.5
64,Female,Engineer,7.2,5.1,1-2x/week,1,7,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.238157894736842,8.2
79,Male,Engineer,10.1,3.7,,16,1,Yes,1 cup,Underweight,No,,1,1.0,3,,14.1
68,Male,Unemployed,9.3,10.0,1-2x/week,3,9,Yes,1 cup,Overweight,No,1.0,1,1.0,2,0.456140350877193,12.3
61,Male,Unemployed,6.4,4.1,3-5x/week,13,4,No,1 cup,Normal,No,2.0,0,1.0,0,0.4099415204678362,7.4
72,Male,Remote Worker,1.9,8.3,1-2x/week,9,3,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.32119883040935676,5.9
69,Prefer not to say,Student,12.5,11.4,,2,1,Yes,2-3 cups,Normal,No,,1,2.0,0,,14.5
74,Female,Engineer,6.2,10.9,1-2x/week,2,10,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.4957602339181286,10.2
20,Female,Remote Worker,12.5,5.5,,14,4,Yes,2-3 cups,Normal,No,,1,2.0,0,,14.5
54,Male,Student,4.5,10.7,Daily,5,9,No,1 cup,Overweight,No,3.0,0,1.0,2,0.7519005847953216,7.5
68,Male,Healthcare,1.0,3.0,,16,10,No,,Obese,Yes,,0,,1,,
24,Male,Unemployed,3.2,3.2,3-5x/week,11,6,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.41418128654970765,5.2
38,Male,Student,7.6,8.4,Daily,19,6,No,1 cup,Normal,Yes,3.0,0,1.0,0,0.788888888888889,8.6
26,Female,Healthcare,14.2,6.3,3-5x/week,10,1,Yes,2-3 cups,Normal,No,2.0,1,2.0,0,0.3482456140350877,16.2
56,Female,Student,2.4,6.5,1-2x/week,3,10,No,1 cup,Normal,No,1.0,0,1.0,0,0.38669590643274854,3.4
35,Female,Unemployed,13.0,8.1,3-5x/week,5,2,No,,Normal,No,2.0,0,,0,0.36023391812865496,
21,Male,Unemployed,8.4,4.7,Daily,0,6,Yes,4+ cups,Normal,No,3.0,1,3.0,0,0.4361111111111111,11.4
42,Prefer not to say,Remote Worker,12.6,4.9,1-2x/week,19,2,Yes,,Normal,Yes,1.0,1,,0,0.3305555555555556,
77,Female,Engineer,5.2,7.4,1-2x/week,15,3,Yes,4+ cups,Normal,No,1.0,1,3.0,0,0.37514619883040934,8.2
31,Female,Student,12.8,9.8,1-2x/week,14,4,Yes,4+ cups,Normal,No,1.0,1,3.0,0,0.45643274853801175,15.8
67,Female,Student,11.8,8.6,1-2x/week,16,5,No,2-3 cups,Overweight,No,1.0,0,2.0,2,0.47719298245614034,15.8
75,Male,Healthcare,4.2,5.7,1-2x/week,7,9,No,2-3 cups,Underweight,No,1.0,0,2.0,3,0.38932748538011697,9.2
26,Male,Unemployed,2.8,6.9,1-2x/week,11,4,Yes,1 cup,Underweight,No,1.0,1,1.0,3,0.3364035087719298,6.8
43,Male,Student,13.2,4.5,,9,9,Yes,2-3 cups,Normal,No,,1,2.0,0,,15.2
70,Female,Unemployed,14.5,3.7,,14,10,No,1 cup,Normal,No,,0,1.0,0,,15.5
19,Male,Student,1.4,10.0,,8,3,Yes,1 cup,Normal,Yes,,1,1.0,0,,2.4
37,Male,Remote Worker,11.2,5.4,,1,8,No,2-3 cups,Normal,No,,0,2.0,0,,13.2
45,Male,Engineer,13.7,4.6,,4,1,No,1 cup,Normal,No,,0,1.0,0,,14.7
64,Male,Student,13.0,9.2,1-2x/week,5,9,Yes,1 cup,Overweight,No,1.0,1,1.0,2,0.46023391812865494,16.0
77,Female,Unemployed,14.5,8.6,,6,9,Yes,1 cup,Underweight,No,,1,1.0,3,,18.5
24,Female,Remote Worker,11.6,8.7,3-5x/week,0,10,No,1 cup,Overweight,No,2.0,0,1.0,2,0.5333333333333333,14.6
61,Female,Student,7.2,5.1,,6,2,No,2-3 cups,Overweight,No,,0,2.0,2,,11.2
78,Male,Healthcare,5.4,5.1,,19,4,No,1 cup,Overweight,No,,0,1.0,2,,8.4
25,Female,Engineer,5.5,5.0,3-5x/week,11,8,No,4+ cups,Obese,Yes,2.0,0,3.0,1,0.5197368421052632,9.5
64,Female,Student,11.1,4.6,1-2x/week,15,7,Yes,2-3 cups,Underweight,No,1.0,1,2.0,3,0.40847953216374266,16.1
52,Male,Remote Worker,11.4,8.9,,15,1,No,2-3 cups,Normal,Yes,,0,2.0,0,,13.4
31,Male,Healthcare,3.8,10.6,3-5x/week,10,5,No,1 cup,Overweight,Yes,2.0,0,1.0,2,0.5788011695906432,6.8
34,Male,Remote Worker,13.2,9.5,3-5x/week,3,7,Yes,2-3 cups,Normal,No,2.0,1,2.0,0,0.5116959064327485,15.2
53,Female,Remote Worker,11.0,10.1,1-2x/week,12,4,No,,Normal,No,1.0,0,,0,0.43845029239766076,
67,Female,Healthcare,8.9,6.6,1-2x/week,6,1,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.17894736842105263,12.9
57,Male,Remote Worker,7.6,8.9,Daily,3,9,No,,Overweight,No,3.0,0,,2,0.6755847953216374,
21,Male,Healthcare,8.6,6.2,1-2x/week,14,5,Yes,2-3 cups,Obese,No,1.0,1,2.0,1,0.38421052631578945,11.6
19,Female,Student,3.2,7.7,1-2x/week,18,2,No,4+ cups,Obese,No,1.0,0,3.0,1,0.3951754385964912,7.2
79,Female,Healthcare,3.9,7.3,3-5x/week,8,8,No,1 cup,Overweight,No,2.0,0,1.0,2,0.5441520467836256,6.9
23,Female,Healthcare,2.3,4.6,,10,2,No,1 cup,Normal,No,,0,1.0,0,,3.3
71,Female,Engineer,3.2,6.5,1-2x/week,7,3,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.24488304093567254,7.2
59,Male,Healthcare,7.4,11.7,,0,10,No,1 cup,Underweight,No,,0,1.0,3,,11.4
21,Male,Healthcare,8.4,5.2,3-5x/week,7,1,No,2-3 cups,Normal,No,2.0,0,2.0,0,0.27821637426900586,10.4
71,Female,Student,1.3,4.2,1-2x/week,12,2,No,,Overweight,Yes,1.0,0,,2,0.21900584795321637,
46,Male,Engineer,12.2,6.8,1-2x/week,3,7,No,,Normal,No,1.0,0,,0,0.3116959064327485,
35,Female,Unemployed,5.1,10.1,,7,10,No,4+ cups,Normal,No,,0,3.0,0,,8.1
43,Non-binary,Student,13.8,8.2,,2,2,No,2-3 cups,Normal,No,,0,2.0,0,,15.8
61,Female,Student,14.5,9.1,1-2x/week,8,6,No,2-3 cups,Overweight,Yes,1.0,0,2.0,2,0.4135964912280702,18.5
51,Male,Unemployed,3.6,4.7,3-5x/week,1,3,No,1 cup,Normal,No,2.0,0,1.0,0,0.2409356725146199,4.6
27,Female,Healthcare,7.5,8.6,1-2x/week,1,4,No,2-3 cups,Overweight,No,1.0,0,2.0,2,0.25204678362573096,11.5
79,Female,Remote Worker,1.0,5.9,,12,8,No,1 cup,Normal,No,,0,1.0,0,,2.0
53,Female,Engineer,9.4,10.5,3-5x/week,14,3,No,2-3 cups,Overweight,Yes,2.0,0,2.0,2,0.5730994152046783,13.4
31,Non-binary,Remote Worker,9.5,8.7,,11,10,No,2-3 cups,Overweight,No,,0,2.0,2,,13.5
48,Male,Unemployed,4.5,4.8,Daily,3,6,No,1 cup,Normal,No,3.0,0,1.0,0,0.4783625730994152,5.5
65,Prefer not to say,Student,8.8,3.6,,7,1,Yes,1 cup,Normal,No,,1,1.0,0,,9.8
32,Non-binary,Student,4.2,3.4,1-2x/week,8,7,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.2830409356725146,5.2
25,Male,Engineer,3.3,6.3,,4,8,No,2-3 cups,Obese,No,,0,2.0,1,,6.3
31,Male,Student,10.1,5.4,Daily,19,8,No,1 cup,Overweight,No,3.0,0,1.0,2,0.7611111111111111,13.1
40,Male,Student,5.6,8.8,1-2x/week,17,3,No,2-3 cups,Obese,Yes,1.0,0,2.0,1,0.4403508771929825,8.6
77,Male,Engineer,9.3,7.5,,10,10,No,1 cup,Normal,Yes,,0,1.0,0,,10.3
74,Male,Engineer,7.1,5.4,1-2x/week,14,1,No,2-3 cups,Overweight,No,1.0,0,2.0,2,0.25087719298245614,11.1
79,Female,Unemployed,14.8,4.3,,8,9,No,2-3 cups,Overweight,Yes,,0,2.0,2,,18.8
57,Male,Student,3.1,4.1,,16,6,No,1 cup,Overweight,Yes,,0,1.0,2,,6.1
38,Male,Student,7.5,10.8,Daily,11,9,No,,Obese,No,3.0,0,,1,0.833625730994152,
33,Female,Unemployed,10.5,5.2,1-2x/week,6,7,No,,Normal,No,1.0,0,,0,0.3067251461988304,
62,Male,Healthcare,6.5,8.9,3-5x/week,9,1,No,2-3 cups,Normal,Yes,2.0,0,2.0,0,0.40730994152046784,8.5
35,Female,Healthcare,14.6,10.3,1-2x/week,9,1,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.3211988304093567,18.6
64,Male,Healthcare,11.1,8.5,1-2x/week,12,6,Yes,,Overweight,Yes,1.0,1,,2,0.44956140350877194,
70,Male,Unemployed,10.2,10.7,,18,5,No,2-3 cups,Normal,Yes,,0,2.0,0,,12.2
41,Female,Student,11.6,6.5,,10,9,Yes,1 cup,Normal,Yes,,1,1.0,0,,12.6
43,Female,Unemployed,14.3,11.6,3-5x/week,12,2,No,1 cup,Normal,No,2.0,0,1.0,0,0.5495614035087719,15.3
42,Female,Unemployed,13.7,4.2,Daily,7,8,No,4+ cups,Normal,Yes,3.0,0,3.0,0,0.5698830409356724,16.7
77,Female,Healthcare,11.1,3.9,,7,5,No,1 cup,Normal,Yes,,0,1.0,0,,12.1
77,Female,Remote Worker,11.5,8.9,,3,2,No,1 cup,Overweight,No,,0,1.0,2,,14.5
77,Male,Student,3.0,11.5,1-2x/week,14,10,Yes,,Overweight,No,1.0,1,,2,0.6703216374269005,
62,Male,Healthcare,2.4,10.3,Daily,10,6,No,,Normal,No,3.0,0,,0,0.7232456140350877,
58,Female,Remote Worker,9.0,3.7,,10,10,No,1 cup,Normal,No,,0,1.0,0,,10.0
46,Female,Remote Worker,1.3,5.5,1-2x/week,0,8,No,,Normal,Yes,1.0,0,,0,0.26388888888888884,
32,Prefer not to say,Engineer,7.8,11.4,3-5x/week,16,4,Yes,2-3 cups,Normal,No,2.0,1,2.0,0,0.6521929824561403,9.8
62,Male,Student,3.9,5.3,,14,2,No,1 cup,Overweight,No,,0,1.0,2,,6.9
18,Male,Remote Worker,5.8,10.0,,19,5,Yes,1 cup,Obese,No,,1,1.0,1,,7.8
42,Female,Healthcare,11.9,10.4,1-2x/week,5,2,Yes,,Normal,No,1.0,1,,0,0.29912280701754385,
24,Male,Engineer,14.2,7.5,Daily,14,2,Yes,1 cup,Overweight,No,3.0,1,1.0,2,0.5869883040935673,17.2
26,Non-binary,Student,2.0,6.5,,8,6,Yes,2-3 cups,Overweight,Yes,,1,2.0,2,,6.0
41,Female,Unemployed,8.5,7.1,1-2x/week,13,10,No,4+ cups,Overweight,No,1.0,0,3.0,2,0.5349415204678363,13.5
18,Male,Healthcare,13.4,5.0,1-2x/week,17,9,Yes,,Normal,Yes,1.0,1,,0,0.5014619883040936,
61,Female,Remote Worker,2.2,11.0,1-2x/week,16,4,No,2-3 cups,Obese,No,1.0,0,2.0,1,0.5160818713450293,5.2
25,Female,Remote Worker,12.5,7.1,1-2x/week,17,6,No,1 cup,Normal,No,1.0,0,1.0,0,0.47646198830409353,13.5
41,Male,Healthcare,6.0,10.9,1-2x/week,4,7,No,1 cup,Normal,No,1.0,0,1.0,0,0.4387426900584795,7.0
28,Non-binary,Remote Worker,5.5,4.0,1-2x/week,19,6,Yes,1 cup,Underweight,No,1.0,1,1.0,3,0.4166666666666667,9.5
68,Female,Engineer,14.7,11.9,1-2x/week,19,8,No,,Normal,No,1.0,0,,0,0.6916666666666667,
34,Female,Student,3.8,7.0,1-2x/week,8,4,No,,Normal,No,1.0,0,,0,0.29970760233918126,
25,Male,Engineer,10.7,3.4,1-2x/week,10,1,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.14269005847953214,12.7
52,Female,Remote Worker,12.5,3.3,3-5x/week,0,7,Yes,1 cup,Normal,No,2.0,1,1.0,0,0.29999999999999993,13.5
52,Male,Unemployed,1.6,9.7,,17,3,No,4+ cups,Overweight,No,,0,3.0,2,,6.6
50,Male,Student,10.4,8.9,3-5x/week,5,6,No,1 cup,Overweight,No,2.0,0,1.0,2,0.4935672514619883,13.4
76,Non-binary,Student,14.3,10.2,3-5x/week,1,2,No,,Normal,No,2.0,0,,0,0.36593567251461984,
22,Male,Healthcare,2.7,3.9,,14,9,Yes,2-3 cups,Overweight,No,,1,2.0,2,,6.7
59,Male,Healthcare,13.5,3.3,1-2x/week,13,1,No,1 cup,Overweight,No,1.0,0,1.0,2,0.17938596491228068,16.5
56,Prefer not to say,Unemployed,9.3,7.6,1-2x/week,4,6,Yes,1 cup,Overweight,No,1.0,1,1.0,2,0.3192982456140351,12.3
75,Prefer not to say,Student,9.6,6.5,,5,6,Yes,2-3 cups,Normal,Yes,,1,2.0,0,,11.6
58,Female,Unemployed,9.6,7.2,1-2x/week,5,5,No,4+ cups,Overweight,No,1.0,0,3.0,2,0.2935672514619883,14.6
45,Female,Healthcare,5.2,11.9,,17,5,Yes,2-3 cups,Obese,No,,1,2.0,1,,8.2
24,Male,Healthcare,14.1,11.7,,13,1,Yes,2-3 cups,Overweight,No,,1,2.0,2,,18.1
26,Male,Student,14.3,11.5,3-5x/week,9,10,Yes,2-3 cups,Normal,No,2.0,1,2.0,0,0.7295321637426901,16.3
25,Male,Engineer,9.8,10.1,,13,5,No,4+ cups,Normal,Yes,,0,3.0,0,,12.8
29,Female,Remote Worker,12.0,6.2,3-5x/week,12,2,No,1 cup,Overweight,No,2.0,0,1.0,2,0.39956140350877195,15.0
51,Female,Healthcare,9.6,6.7,1-2x/week,2,7,No,,Normal,No,1.0,0,,0,0.29576023391812867,
50,Female,Healthcare,7.8,7.9,3-5x/week,5,3,No,1 cup,Normal,No,2.0,0,1.0,0,0.38245614035087716,8.8
65,Female,Engineer,10.3,10.5,1-2x/week,7,4,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.3837719298245614,11.3
72,Male,Engineer,8.7,3.6,,11,3,No,2-3 cups,Overweight,Yes,,0,2.0,2,,12.7
40,Female,Unemployed,9.4,6.8,1-2x/week,12,3,No,2-3 cups,Overweight,Yes,1.0,0,2.0,2,0.31900584795321635,13.4
79,Male,Unemployed,12.0,3.7,,10,4,Yes,1 cup,Normal,No,,1,1.0,0,,13.0
41,Female,Remote Worker,7.7,7.6,1-2x/week,11,5,No,,Obese,No,1.0,0,,1,0.38362573099415204,
54,Male,Remote Worker,1.6,11.1,Daily,0,1,No,2-3 cups,Normal,No,3.0,0,2.0,0,0.475,3.6
52,Female,Student,3.3,10.0,,16,4,Yes,1 cup,Overweight,Yes,,1,1.0,2,,6.3
61,Male,Unemployed,7.1,5.1,1-2x/week,15,8,Yes,2-3 cups,Overweight,No,1.0,1,2.0,2,0.4501461988304093,11.1
57,Male,Healthcare,11.1,11.8,3-5x/week,10,10,Yes,1 cup,Overweight,No,2.0,1,1.0,2,0.7510233918128655,14.1
39,Male,Unemployed,9.3,9.0,3-5x/week,12,7,Yes,1 cup,Obese,No,2.0,1,1.0,1,0.6162280701754386,11.3
44,Female,Healthcare,10.1,3.1,1-2x/week,17,9,No,,Normal,Yes,1.0,0,,0,0.44868421052631574,
52,Female,Engineer,7.7,5.3,,10,5,No,,Overweight,No,,0,,2,,
18,Male,Unemployed,9.6,5.3,1-2x/week,11,10,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.45862573099415205,11.6
52,Male,Engineer,5.6,3.6,,5,4,No,4+ cups,Overweight,No,,0,3.0,2,,10.6
54,Female,Remote Worker,7.6,11.6,3-5x/week,8,8,Yes,2-3 cups,Overweight,No,2.0,1,2.0,2,0.6635964912280702,11.6
64,Male,Remote Worker,11.4,7.3,Daily,15,9,No,,Overweight,No,3.0,0,,2,0.7890350877192982,
31,Female,Student,13.2,11.1,3-5x/week,3,7,No,1 cup,Normal,No,2.0,0,1.0,0,0.5561403508771929,14.2
20,Female,Unemployed,7.1,5.9,3-5x/week,2,7,No,2-3 cups,Overweight,No,2.0,0,2.0,2,0.3985380116959064,11.1
18,Male,Engineer,1.6,4.1,,15,5,No,2-3 cups,Normal,Yes,,0,2.0,0,,3.6
22,Male,Healthcare,3.3,7.3,3-5x/week,11,4,No,,Underweight,No,2.0,0,,3,0.4725146198830409,
43,Prefer not to say,Remote Worker,1.3,4.0,3-5x/week,10,10,No,,Overweight,Yes,2.0,0,,2,0.5343567251461988,
72,Male,Remote Worker,10.1,7.4,,4,1,No,2-3 cups,Normal,No,,0,2.0,0,,12.1
31,Male,Healthcare,5.7,11.3,3-5x/week,17,10,Yes,1 cup,Overweight,No,2.0,1,1.0,2,0.8292397660818713,8.7
56,Female,Engineer,8.6,7.7,,18,10,Yes,1 cup,Normal,No,,1,1.0,0,,9.6
44,Non-binary,Engineer,7.9,8.5,1-2x/week,5,7,Yes,,Normal,No,1.0,1,,0,0.38523391812865493,
26,Prefer not to say,Unemployed,2.1,4.4,3-5x/week,17,1,No,1 cup,Overweight,Yes,2.0,0,1.0,2,0.3875730994152047,5.1
32,Female,Unemployed,6.6,3.4,1-2x/week,5,1,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.07690058479532164,8.6
32,Male,Student,4.1,4.0,,3,5,No,4+ cups,Normal,No,,0,3.0,0,,7.1
43,Male,Remote Worker,6.9,8.4,1-2x/week,11,9,No,1 cup,Overweight,Yes,1.0,0,1.0,2,0.5169590643274854,9.9
59,Female,Unemployed,3.9,3.9,1-2x/week,18,6,No,1 cup,Normal,No,1.0,0,1.0,0,0.40073099415204677,4.9
77,Female,Engineer,12.8,6.4,Daily,1,3,No,,Overweight,Yes,3.0,0,,2,0.4131578947368421,
30,Male,Healthcare,3.4,8.0,1-2x/week,16,3,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.4049707602339181,4.4
68,Non-binary,Engineer,14.5,6.5,1-2x/week,10,7,Yes,1 cup,Overweight,No,1.0,1,1.0,2,0.39546783625730986,17.5
49,Male,Remote Worker,6.8,4.5,3-5x/week,10,6,No,2-3 cups,Overweight,Yes,2.0,0,2.0,2,0.4371345029239766,10.8
56,Female,Engineer,12.8,5.5,1-2x/week,15,9,No,1 cup,Overweight,No,1.0,0,1.0,2,0.4890350877192982,15.8
66,Male,Student,9.8,11.4,1-2x/week,1,6,No,1 cup,Normal,Yes,1.0,0,1.0,0,0.3853801169590643,10.8
69,Female,Remote Worker,11.3,9.1,1-2x/week,1,5,Yes,,Overweight,Yes,1.0,1,,2,0.29371345029239765,
78,Male,Healthcare,11.7,7.5,3-5x/week,7,10,Yes,1 cup,Overweight,Yes,2.0,1,1.0,2,0.5921052631578947,14.7
49,Male,Student,8.1,3.1,1-2x/week,12,7,No,,Overweight,No,1.0,0,,2,0.32733918128654965,
21,Male,Remote Worker,8.6,11.9,1-2x/week,9,1,Yes,,Normal,No,1.0,1,,0,0.36564327485380116,
47,Female,Healthcare,8.2,9.0,,7,7,Yes,4+ cups,Overweight,No,,1,3.0,2,,13.2
54,Female,Student,9.2,5.9,,3,3,No,1 cup,Overweight,Yes,,0,1.0,2,,12.2
40,Female,Student,1.4,10.9,,14,9,Yes,1 cup,Normal,Yes,,1,1.0,0,,2.4
56,Prefer not to say,Remote Worker,6.5,5.3,,0,6,No,2-3 cups,Normal,No,,0,2.0,0,,8.5
62,Male,Unemployed,9.5,7.9,1-2x/week,10,9,Yes,4+ cups,Overweight,No,1.0,1,3.0,2,0.4899122807017544,14.5
32,Male,Student,9.4,8.7,3-5x/week,6,5,Yes,1 cup,Underweight,No,2.0,1,1.0,3,0.47339181286549703,13.4
60,Female,Student,12.1,5.0,1-2x/week,16,7,No,2-3 cups,Obese,Yes,1.0,0,2.0,1,0.4327485380116959,15.1
46,Male,Healthcare,10.2,11.8,3-5x/week,19,4,No,1 cup,Overweight,No,2.0,0,1.0,2,0.7027777777777777,13.2
53,Prefer not to say,Engineer,14.9,9.7,Daily,17,7,No,1 cup,Overweight,No,3.0,0,1.0,2,0.8264619883040936,17.9
30,Male,Remote Worker,5.0,8.0,3-5x/week,11,1,No,1 cup,Normal,No,2.0,0,1.0,0,0.40862573099415206,6.0
49,Prefer not to say,Remote Worker,6.0,4.6,1-2x/week,8,7,Yes,2-3 cups,Normal,No,1.0,1,2.0,0,0.3163742690058479,8.0
24,Male,Unemployed,6.4,3.5,1-2x/week,4,8,No,2-3 cups,Obese,Yes,1.0,0,2.0,1,0.26096491228070173,9.4
76,Female,Unemployed,7.5,5.9,1-2x/week,9,5,Yes,1 cup,Normal,No,1.0,1,1.0,0,0.31008771929824563,8.5
68,Female,Remote Worker,12.7,9.8,,3,2,No,,Overweight,No,,0,,2,,
39,Prefer not to say,Unemployed,4.3,5.4,1-2x/week,4,5,No,2-3 cups,Normal,No,1.0,0,2.0,0,0.2304093567251462,6.3
45,Male,Healthcare,11.9,7.9,Daily,9,6,No,,Normal,No,3.0,0,,0,0.643421052631579,
19,Female,Remote Worker,6.7,9.6,3-5x/week,10,2,No,1 cup,Underweight,No,2.0,0,1.0,3,0.46769005847953216,10.7
59,Prefer not to say,Unemployed,9.4,4.0,,9,6,Yes,2-3 cups,Normal,No,,1,2.0,0,,11.4
